expected_vas,expect_uncertainty,sensory_uncertainty,stim_intensity,check_up
70,high,high,low,no
30,high,none,low,no
70,low,high,low,no
30,low,none,high,yes
30,low,none,high,no
70,low,high,high,no
30,high,high,low,no
30,high,none,high,no
70,high,high,low,no
70,low,low,high,no
70,low,high,low,no
70,high,high,high,no
30,low,none,high,yes
70,low,none,low,no
30,high,low,high,no
70,high,low,high,no
30,high,high,high,no
30,high,high,high,no
70,high,none,high,no
30,high,high,high,no
70,low,none,low,no
30,low,none,high,no
70,high,low,low,no
30,high,low,low,no
70,high,none,high,yes
30,high,high,low,no
70,low,low,high,no
70,high,none,high,no
30,low,high,high,no
30,low,low,high,yes
70,low,high,low,no
70,high,low,low,yes
70,high,low,high,no
30,low,low,low,yes
70,high,high,high,no
70,high,low,low,yes
70,low,high,low,no
70,high,none,high,no
30,high,none,low,no
30,low,high,low,no
30,high,none,low,no
70,high,low,low,no
70,high,high,low,no
30,high,low,low,no
30,low,none,low,no
70,high,none,high,yes
30,low,none,low,no
70,low,low,low,no
30,low,high,low,no
70,low,low,low,no
30,high,none,high,no
30,high,none,high,yes
30,high,high,low,yes
30,low,low,low,no
70,low,low,low,no
30,low,low,low,no
30,high,low,low,yes
70,high,high,high,no
30,low,low,high,no
70,high,low,high,no
30,high,high,high,yes
70,high,high,low,no
70,low,low,high,no
70,high,none,high,no
70,low,none,high,yes
70,high,high,low,no
30,high,low,low,no
70,low,high,low,no
30,low,none,high,no
30,low,low,high,yes
30,low,high,low,no
30,low,none,low,no
70,high,high,low,no
70,low,low,low,no
30,high,high,low,no
30,low,low,low,no
30,high,none,high,no
30,low,low,low,no
30,low,high,high,no
70,high,high,low,no
30,low,high,high,no
70,high,high,low,no
70,high,low,high,no
70,high,none,low,no
70,high,high,high,yes
30,low,high,low,no
30,high,none,low,no
30,high,low,high,no
70,high,none,low,no
70,low,none,low,no
70,low,high,high,no
70,high,low,low,no
70,low,none,high,no
30,high,low,low,no
70,low,none,high,no
70,low,none,high,yes
70,high,low,high,yes
30,low,none,low,no
30,low,high,low,no
30,high,low,high,no
70,high,low,high,yes
30,low,low,high,no
70,high,low,low,no
30,high,high,high,no
70,low,low,high,yes
30,high,none,low,no
70,low,low,high,no
70,low,none,low,no
70,high,none,low,yes
30,low,none,high,yes
30,high,low,high,no
70,high,none,low,no
70,high,none,low,no
30,low,high,high,no
70,high,none,low,no
70,high,none,low,no
30,high,high,low,no
30,high,none,low,yes
30,high,low,high,yes
30,high,high,low,no
70,low,high,low,no
30,low,high,low,no
30,low,low,low,no
70,high,low,high,no
70,low,high,high,no
70,high,low,high,yes
30,high,low,high,yes
70,low,low,low,no
70,high,high,high,no
30,high,high,low,no
70,low,low,low,no
30,low,low,low,yes
30,high,low,low,yes
30,high,none,high,no
30,low,low,high,no
30,high,none,high,no
70,low,high,high,no
70,low,none,high,no
70,low,high,low,no
30,high,low,high,yes
70,low,none,low,no
70,high,high,high,no
70,high,low,low,no
30,high,low,low,no
30,low,high,high,no
70,low,high,low,yes
70,high,none,low,no
30,low,low,low,no
30,low,none,low,yes
30,low,none,low,no
30,low,none,high,no
30,low,high,low,no
30,high,high,high,no
70,low,low,high,no
30,high,high,low,no
70,low,low,low,no
70,low,none,low,no
30,low,high,low,no
70,low,none,high,no
30,high,none,high,no
70,low,high,high,no
70,high,high,high,no
70,low,none,high,no
30,high,high,high,no
70,high,high,high,no
30,low,high,high,no
30,low,low,high,no
30,low,high,high,no
70,high,none,high,no
70,low,high,high,no
30,high,low,high,no
30,high,high,high,no
30,high,none,high,no
30,low,none,high,no
70,low,none,high,no
70,low,low,high,no
70,low,high,high,no
70,low,none,low,no
70,high,none,high,no
70,low,low,low,yes
30,high,none,low,no
30,low,none,low,no
30,low,low,high,no
30,low,low,high,no
70,low,high,high,no
70,high,low,low,no
30,low,high,high,no
70,low,none,low,no
30,low,none,low,yes
30,high,none,low,no
30,high,low,low,no
70,low,low,high,no
